IdUser,FullName,Email,Password1


1,"Ilyass Benhida",ilyas@gmail.com,147
<<<<<<< HEAD
2,test1,test1@gmail.com,258
3,test1,test1@gmail.com,258
4,test1,test1@gmail.com,258
5,test1,test1@gmail.com,258
6,test1,test1@gmail.com,258
7,test1,test1@gmail.com,258
8,omar,omar@gmail.com,333
9,omar,omar@gmail.com,333
10,omar,omar@gmail.com,333
11,omar,omar@gmail.com,333
12,omar,omar@gmail.com,333
13,omar,omar@gmail.com,333
14,omar,omar@gmail.com,333
=======

1,ISMAIL,ismail@gmail.com,258
2,mendoun,mendoun@gmail.com,123
3,array,array@gmail.com,654
4,test1,ismail@gmail.com,258
5,ismail1,ilyas@gmail.com,369
6,test,ismail@gmail.com,258
7,ismail1,ismail@gmail.com,357
8,script,test@gmail.com,159
9,ismail1,ilyas@gmail.com,369
10,pref,test@gmail.com,369
11,test1,ilyas@gmail.com,369
12,test1,ismail@gmail.com,258
13,test,ilyas@gmail.com,159
14,test,ismail@gmail.com,258
15,test1,ismail@gmail.com,369
16,test1,ismail@gmail.com,258
17,test,ilyas@gmail.com,369
>>>>>>> 4f9fe5f433c0ffcc0cf1f4d5f7ac5d408cccf2bc
